Day,Open,High,Low,Close,Adj Close,Volume
1,398.799988,399.359985,394.019989,397.970001,397.970001,2137800
2,398.290009,402.709991,396.220001,396.440002,396.440002,2210200
3,395.850006,397,388.420013,393.630005,393.630005,3170600
4,395.040009,398.470001,394.290009,398.029999,398.029999,1916000
5,398.470001,403,396.040009,401.920013,401.920013,2316500
6,403.709991,406.890015,398.440002,401.01001,401.01001,2103000
7,402.529999,403.76001,393.799988,397.660004,397.660004,2679500
8,397.980011,399.779999,388.450012,390.980011,390.980011,2844900
9,392.130005,398.630005,391.290009,397.540009,397.540009,2340100
10,398.940002,399.309998,392.529999,395.869995,395.869995,2678300
11,393.679993,399.290009,389.410004,395.799988,395.799988,2601200
12,394.26001,403.48999,393.660004,399.609985,399.609985,4505100
13,403,407.799988,401.600006,407.049988,407.049988,3122100
14,408,408.059998,402,404.540009,404.540009,2060500
15,401,406.170013,397.790009,399.869995,399.869995,3025400
16,398.160004,400.200012,387.269989,387.600006,387.600006,4458400
17,390.5,394.100006,380.48999,386.279999,386.279999,3936800
18,387.399994,394.73999,387.119995,394.429993,394.429993,2894500
19,392.160004,392.850006,383.23999,384.200012,384.200012,3382300
20,393.769989,406.25,387.700012,403.01001,403.01001,10473900
21,371.76001,375.450012,357.76001,358.690002,358.690002,16154800
22,358.980011,360.850006,340.100006,346.149994,346.149994,10280800
23,349.589996,354,344.019989,347.950012,347.950012,4812900
24,346,349.369995,337.730011,346.450012,346.450012,4435400
25,347.399994,354.820007,347.399994,354.589996,354.589996,3335700
26,358.980011,361.799988,352.48999,361.079987,361.079987,4330500
27,361.609985,365,359.350006,360.869995,360.869995,3449700
28,361.839996,363.609985,356.25,361.790009,361.790009,3222100
29,356.429993,357.75,346.320007,349.25,349.25,6587700
30,347.700012,357.200012,346.5,357.200012,357.200012,4175000
31,359.339996,359.339996,353.350006,357.350006,357.350006,3520200
32,355.279999,355.730011,349.450012,353.649994,353.649994,4998000
33,352.640015,354.540009,346.100006,347.380005,347.380005,4168100
34,348.799988,350.459991,344.380005,349.799988,349.799988,3492800
35,352.440002,354.140015,346.75,346.76001,346.76001,4210000
36,345.190002,353,343.290009,351.779999,351.779999,3644700
37,353,361.079987,351.579987,358.320007,358.320007,3736400
38,359.859985,364.75,357.170013,359.799988,359.799988,3622100
39,357.220001,360.589996,355.5,360.130005,360.130005,3104900
40,360.600006,365.869995,357.079987,362.100006,362.100006,3882000
41,358.73999,360.959991,354.480011,359.779999,359.779999,2798300
42,363.899994,365.679993,362.459991,363.899994,363.899994,2704400
43,364.130005,372.730011,363.899994,372.369995,372.369995,3848300
44,374.049988,375.329987,368.899994,372.160004,372.160004,2926600
45,374.579987,374.98999,369.529999,372.059998,372.059998,2279800
46,372.690002,372.730011,367,370.529999,370.529999,2105800
47,370.98999,372.799988,367.279999,368.820007,368.820007,2246100
48,366.399994,371.160004,363.609985,370.640015,370.640015,2216600
49,376.619995,383.109985,368.079987,371.51001,371.51001,6829000
50,372.799988,378.570007,371.549988,373.73999,373.73999,4402200
51,375.720001,378.850006,374.880005,375.040009,375.040009,2303000
52,377.320007,379,375,378.769989,378.769989,2483500
