Day,Open,High,Low,Close,Adj Close,Volume
1,116.26,116.4,103.14,104.08,104.08,70749800
2,104.55,110.53,101.02,110.26,110.26,54967000
3,85.7,100,85,96.8,96.8,79260700
4,93.35,95.8,86.6,88.74,88.74,57763700
5,85.91,96.33,85.68,89.79,89.79,78847900
6,100.48,101.5,88.95,89.16,89.16,67099000
7,91.96,98.78,87.54,98.14,98.14,75264900
8,104,106.5,94.65,97.07,97.07,81942800
9,108.01,108.79,100,100.1,100.1,57477300
10,111.92,112.36,107.39,109.12,109.12,46303000
11,108.25,115,106.3,113.66,113.66,58095800
12,119.62,119.68,100.59,105.26,105.26,93581400
13,124.91,129.8,123,128.24,128.24,40208700
14,129.8,134.79,128.52,131.93,131.93,35865600
15,127.27,130.95,125.15,128.71,128.71,37393400
16,131.85,135.8,126.66,126.84,126.84,45727300
17,139.94,140.25,130.66,131.05,131.05,30577300
18,142.6,144.2,136.31,140.91,140.91,51102700
19,130.57,135.43,120.68,134.09,134.09,59819300
20,138.49,138.51,127.83,127.83,127.83,42847200
21,133.86,142.5,132.15,139.88,139.88,42804800
22,142.03,147.69,140.36,140.36,140.36,32852600
23,150.91,150.91,146.5,148.94,148.94,28322400
24,148.18,152.99,146,152.65,152.65,34666800
25,152.32,154.99,148.8,151.61,151.61,34755100
26,156.86,159.96,149.79,151.68,151.68,44442500
27,164.57,164.89,151.46,157.92,157.92,37356400
28,158.59,162.4,157.65,160.18,160.18,28083800
29,165.86,167.91,160.81,161.22,161.22,26549500
30,166.84,168.68,164,166.96,166.96,26244100
31,172.4,173.5,165,166.19,166.19,27884400
32,172.96,173.5,169.04,169.53,169.53,21403200
33,175.28,176.25,172.75,173.74,173.74,15394500
34,173.31,175.76,172.19,174.67,174.67,17045900
35,172.76,174.88,172.61,173.64,173.64,15912500
36,176.15,176.23,171.66,172.55,172.55,17300900
37,175.82,177.5,175.57,176.79,176.79,15700400
38,174.47,175.45,171.89,174.29,174.29,19276600
39,174.77,176.94,173.61,175.84,175.84,18105400
40,174.54,177.07,171.81,173.53,173.53,21997000
41,175.57,177.81,173.82,175.39,175.39,19691200
42,179.04,179.75,175.05,175.74,175.74,25294700
43,178.33,180.45,177.84,179.32,179.32,25393200
44,177.98,180,175.9,179.3,179.3,30083800
45,173.52,179.29,173.51,176.73,176.73,29867100
46,170.07,176.5,169.67,173.56,173.56,31821100
47,163.86,169.65,163.75,169.55,169.55,25499900
48,162.71,166.15,161.5,163.57,163.57,24013300
49,159.97,167.4,158,164.19,164.19,28264600
50,155.42,160.8,154.82,160.64,160.64,24584700
51,156.6,157.9,152.91,153.23,153.23,21161700
52,159.9,159.99,155.75,156.66,156.66,19451400
53,157.54,162.2,156.98,158.95,158.95,22767800
54,157.78,160.49,156.08,159.88,159.88,25899400
55,155.41,159.45,153.65,157.08,157.08,24431100
56,162.34,162.47,154.02,154.4,154.4,27882600
57,160.4,163,158.65,162.12,162.12,22629900
58,164.32,165.26,158.45,159.03,159.03,29986400
59,164.99,168.37,161.56,166.26,166.26,37920300
60,149,162.76,146.53,162.02,162.02,67128300
61,166.9,167.5,161.12,166.29,166.29,48588200
62,168.52,169.65,165,165.15,165.15,31014800
63,174.1,174.98,171.39,171.81,171.81,27054500
64,170.2,172.93,168.6,172.81,172.81,26706800
